349428141,4,25,9,16,4
33665713,2,19,4,15,4
353953,2,104,17,87,4
353953,2,104,17,87,4
20878014,2,10,2,8,10
65482317,1,50,43,7,24
11889593,1,31,17,14,31
169774598,22,502,20,482,265
318464095,5,39,9,30,40
357701,1,75,1,74,1
4606373,1,95,5,90,1
59112199,1,27,20,7,7
196366245,2,64,4,60,14
306228462,4,31,12,19,12
206627943,1,53,9,44,118
168485774,1,27,11,16,8
314029761,1,756,92,664,15
92702127,11,16,3,13,22
145968947,1,85,9,76,3
145968947,1,85,9,76,3
395001079,11,19,18,1,42
52372370,1,90,52,38,1
162920785,1,13,3,10,16
4818316,1,178,24,154,29
11796361,3,154,25,129,1
16611796,3,23,8,15,68
137270,1,90,24,66,3
569178,14,13,5,8,6
569178,14,13,5,8,6
353114124,1,7,3,4,5
132072526,1,315,40,275,1
51989564,1,92,2,90,1
6042984,4,69,18,51,4
160083765,5,21,2,19,9
378095864,18,20,2,18,59
6302720,1,40,4,36,1
260624563,1,460,5,455,1
255885225,2,52,2,50,28
77242045,3,113,39,74,8
77242045,3,113,39,74,8
311148,2,98,16,82,130
860985,1,30,21,9,20
860985,1,30,21,9,20
6226528,2,52,1,51,6
174644676,31,52,8,44,7
248960030,2,27,5,22,40
1323134,1,116,37,79,8
56220949,1,92,23,69,4
411045100,3,6,5,1,13
360580049,2,20,6,14,1
2016850,4,39,14,25,1
204722914,1,34,4,30,4
81029975,3,75,18,57,11
2529785,7,60,34,26,40
2529785,7,60,34,26,40
193822733,5,8,5,3,3
1920948,2,90,33,57,2
316953105,2,16,1,15,9
17524427,2,216,1,215,3
55667261,15,115,1,114,12
99444702,1,25,5,20,3
1012306,1,900,139,761,24
34446122,1,346,12,334,1
129581002,1,281,2,279,2
289792700,1,27,10,17,16
314178133,7,16,12,4,51
186260593,8,1888,16,1872,53
8963289,1,11,1,10,1
858704,1,235,92,143,60
298470827,1,83,30,53,1
40375074,4,54,10,44,2
331204976,5,8,5,3,18
5092744,1,43,7,36,2
63656203,3,98,52,46,21
326124703,4,53,1,52,2
350795553,1,33,30,3,2
937263,14,16,3,13,62
3591903,11,76,22,54,9
45790486,118,127,17,110,566
45790486,118,127,17,110,566
76113396,1,77,7,70,4
176516469,1,84,2,82,6
253292914,1,16,4,12,13
411536329,1,8,1,7,4
411536329,1,8,1,7,4
198501824,8,336,6,330,13
270779469,2,35,1,34,17
139133594,3,57,8,49,8
162166544,1,62,4,58,19
147736,10,13,5,8,18
158628917,1,20,2,18,4
158628917,1,20,2,18,4
231805511,2,63,9,54,28
1074156,1,119,11,108,11
172508802,8,17,2,15,2
502168,27,30,27,3,14
59101922,8,19,2,17,10
315404575,1,39,1,38,15
27472684,3,39,4,35,12
14407878,1,64,44,20,21
150139278,5,98,78,20,1
22662710,5,239,1,238,18
218342844,2,32,8,24,2
55280739,3,23,2,21,5
205447443,5,7,4,3,4
205447443,5,7,4,3,4
3809042,1,74,6,68,2
21099929,7,97,52,45,54
60470911,12,181,140,41,31
155097179,3,34,23,11,21
156427097,1,29,2,27,7
156427097,1,29,2,27,7
302195505,1,53,30,23,12
734115,53,96,94,2,30
1108065,3,61,24,37,59
5932908,8,900,209,691,5
116292201,2,17,1,16,1
155578833,2,83,6,77,1
